label,message
ham,Thanks for the help earlier. Really appreciate it!
ham,"Hey, what's your plan for this weekend?"
ham,Just checking in. How's everything going with you?
spam,Congratulations! You've won a 1000 USD gift card. Click here: offer.link/win
spam,You've been selected! Redeem your prize now at clicknow.com/deal
ham,Don't forget to pick up groceries on your way home.
spam,Your OTP is 875321. Do not share it with anyone. -BankAlert
ham,Please find the attached invoice for this month's services.
ham,"Hey, are we still meeting at noon today?"
ham,"Hi! I'm running 10 minutes late, be there soon."
ham,Don't forget to pick up groceries on your way home.
spam,You've been selected! Redeem your prize now at clicknow.com/deal
ham,What time are we leaving for the airport?
spam,This is not a scam! Claim your inheritance now: tinyurl.com/claimnow
ham,Your order #4563 has been shipped and will arrive by Monday.
ham,Meeting rescheduled to 5:30 PM. Please confirm availability.
spam,Pay ₹50 today and win a smartphone. Limited time only! clicknow.com/deal
ham,Just checking in. How's everything going with you?
ham,"Hi! I'm running 10 minutes late, be there soon."
spam,You have been selected for a free vacation to Paris. Confirm now at bit.ly/free-win
spam,You are the lucky winner of our holiday sweepstakes! Confirm at tinyurl.com/claimnow
spam,You have been selected for a free vacation to the Maldives. Confirm now at tinyurl.com/claimnow
spam,Act now to secure your free trial of headphones. Offer expires today!
spam,Free prize alert! Claim your gift box now. Go to tinyurl.com/claimnow
spam,"Limited time offer! Buy one laptop, get one free. Visit: offer.link/win"
ham,Thanks for the help earlier. Really appreciate it!
ham,Can you send me the notes from yesterday's class?
ham,Can you send me the notes from yesterday's class?
spam,You’re approved for a loan up to 100 USD. Apply at tinyurl.com/claimnow
spam,You are the lucky winner of our holiday sweepstakes! Confirm at offer.link/win
ham,Can you send me that PDF when you're done?
ham,Just checking in. How's everything going with you?
spam,Congratulations! You've won a 100 USD gift card. Click here: bit.ly/free-win
ham,Just checking in. How's everything going with you?
spam,Act now to secure your free trial of laptop. Offer expires today!
spam,You've been selected! Redeem your prize now at bit.ly/free-win
ham,Can you send me the notes from yesterday's class?
ham,Let’s book tickets for the movie tonight.
ham,"Hey, are we still meeting at 3 PM today?"
ham,Your package has been delivered. Check your doorstep.
spam,Win a 5000 EUR cash prize. Act fast! offer.link/win
spam,Get 1000 followers instantly for free. Just click clicknow.com/deal
ham,Can you send me the notes from yesterday's class?
ham,Let's catch up over lunch tomorrow!
spam,Your mobile number has won 100 EUR. Contact us at clicknow.com/deal
ham,Dinner plans confirmed at Bali for tonight!
spam,You've received a special gift. Confirm at bit.ly/free-win
spam,"Limited time offer! Buy one gift box, get one free. Visit: clicknow.com/deal"
ham,"Hey, are we still meeting at noon today?"
spam,You've been selected! Redeem your prize now at clicknow.com/deal
spam,Get 1000 followers instantly for free. Just click offer.link/win
ham,Let's catch up over lunch tomorrow!
ham,Newsletter: Top productivity tips for remote workers inside!
spam,Join our exclusive crypto airdrop today. Limited slots: clicknow.com/deal
spam,Your mobile number has won 1000 EUR. Contact us at tinyurl.com/claimnow
ham,Your package has been delivered. Check your doorstep.
ham,Just checking in. How's everything going with you?
ham,Just checking in. How's everything going with you?
ham,Let's catch up over lunch tomorrow!
spam,"Limited time offer! Buy one headphones, get one free. Visit: tinyurl.com/claimnow"
ham,Just checking in. How's everything going with you?
spam,You’re approved for a loan up to 100 GBP. Apply at clicknow.com/deal
ham,Dinner plans confirmed at the Maldives for tonight!
ham,Meeting rescheduled to 3 PM. Please confirm availability.
spam,Win a 100 USD cash prize. Act fast! bit.ly/free-win
spam,"Limited time offer! Buy one gift box, get one free. Visit: clicknow.com/deal"
ham,Don't forget to pick up groceries on your way home.
ham,What time are we leaving for the airport?
spam,Final notice: You're eligible for a tax refund. Submit details at clicknow.com/deal
ham,Can you send me the notes from yesterday's class?
ham,Can you send me that PDF when you're done?
ham,What time are we leaving for the airport?
spam,You’re approved for a loan up to 100 GBP. Apply at clicknow.com/deal
ham,Reminder: Team meeting scheduled for tomorrow at 10 AM.
spam,Get 1000 followers instantly for free. Just click clicknow.com/deal
ham,"Hey, are we still meeting at 5:30 PM today?"
spam,"Limited time offer! Buy one gift box, get one free. Visit: tinyurl.com/claimnow"
spam,Congratulations! You have been selected for a VIP membership. Click: clicknow.com/deal
spam,Claim your free laptop now. Limited time offer: clicknow.com/deal
spam,Win a 100 USD cash prize. Act fast! bit.ly/free-win
ham,Can you send me the notes from yesterday's class?
ham,Let's catch up over lunch tomorrow!
ham,What time are we leaving for the airport?
ham,Don't forget to pick up groceries on your way home.
ham,Dinner plans confirmed at the Maldives for tonight!
ham,Reminder: Team meeting scheduled for tomorrow at 5:30 PM.
spam,Act now to secure your free trial of headphones. Offer expires today!
ham,Dinner plans confirmed at the Maldives for tonight!
ham,Let’s book tickets for the movie tonight.
spam,This is not a scam! Claim your inheritance now: bit.ly/free-win
spam,Free trial of our antivirus software ends soon. Renew now at offer.link/win
spam,Act now to secure your free trial of iPhone. Offer expires today!
spam,Free Netflix account for 1 year. Join here: clicknow.com/deal
ham,"Hi Arbaz, your subscription has been renewed successfully."
ham,Dinner plans confirmed at Bali for tonight!
spam,You've been selected! Redeem your prize now at bit.ly/free-win
ham,Don't forget to pick up groceries on your way home.
spam,Get 1000 followers instantly for free. Just click clicknow.com/deal
ham,"Hey, are we still meeting at 3 PM today?"
ham,What time are we leaving for the airport?
ham,Happy birthday! Hope you have a wonderful day 🎉
ham,Let's catch up over lunch tomorrow!
spam,Congratulations! You've won a 100 EUR gift card. Click here: bit.ly/free-win
spam,Claim your free laptop now. Limited time offer: tinyurl.com/claimnow
spam,"Dear user, your account will be deactivated. Verify immediately at tinyurl.com/claimnow"
spam,URGENT: Your account has been suspended. Restore access at offer.link/win
spam,You’re approved for a loan up to 100 EUR. Apply at tinyurl.com/claimnow
spam,Congratulations! You've won a 100 GBP gift card. Click here: offer.link/win
ham,Happy birthday! Hope you have a wonderful day 🎉
ham,"Hi! I'm running 10 minutes late, be there soon."
ham,"Hey, what's your plan for this weekend?"
spam,URGENT: Your account has been suspended. Restore access at clicknow.com/deal
spam,Act now to secure your free trial of headphones. Offer expires today!
ham,"Hey, are we still meeting at noon today?"
spam,You have been selected for a free vacation to Bali. Confirm now at offer.link/win
spam,This is not a scam! Claim your inheritance now: clicknow.com/deal
spam,Join our exclusive crypto airdrop today. Limited slots: offer.link/win
spam,Congratulations! You have been selected for a VIP membership. Click: clicknow.com/deal
ham,Your package has been delivered. Check your doorstep.
ham,Reminder: Team meeting scheduled for tomorrow at 10 AM.
ham,Thanks for the help earlier. Really appreciate it!
ham,Your package has been delivered. Check your doorstep.
spam,URGENT: Your account has been suspended. Restore access at tinyurl.com/claimnow
spam,Get 1000 followers instantly for free. Just click clicknow.com/deal
spam,Congratulations! You've won a 5000 GBP gift card. Click here: offer.link/win
ham,Thanks for the help earlier. Really appreciate it!
ham,Newsletter: Top productivity tips for remote workers inside!
spam,Claim your free headphones now. Limited time offer: clicknow.com/deal
spam,Congratulations! You have been selected for a VIP membership. Click: tinyurl.com/claimnow
ham,Reminder: Team meeting scheduled for tomorrow at noon.
ham,"Balance alert: Your account balance is ₹5,432.23."
ham,Happy birthday! Hope you have a wonderful day 🎉
ham,Your package has been delivered. Check your doorstep.
ham,Just checking in. How's everything going with you?
spam,URGENT: Your account has been suspended. Restore access at bit.ly/free-win
spam,You've been selected! Redeem your prize now at clicknow.com/deal
ham,What time are we leaving for the airport?
spam,Congratulations! You have been selected for a VIP membership. Click: offer.link/win
spam,URGENT: Your account has been suspended. Restore access at tinyurl.com/claimnow
ham,Don't forget to pick up groceries on your way home.
ham,Don't forget to pick up groceries on your way home.
ham,"Hey, are we still meeting at 10 AM today?"
ham,"Hey, are we still meeting at 10 AM today?"
ham,Your package has been delivered. Check your doorstep.
ham,What time are we leaving for the airport?
ham,Can you send me the notes from yesterday's class?
ham,"Hey, are we still meeting at 10 AM today?"
ham,Meeting rescheduled to 10 AM. Please confirm availability.
ham,Can you send me the notes from yesterday's class?
ham,Just checking in. How's everything going with you?
spam,You’re approved for a loan up to 1000 EUR. Apply at bit.ly/free-win
ham,Dinner plans confirmed at Paris for tonight!
ham,Can you send me that PDF when you're done?
spam,Congratulations! You've won a 100 GBP gift card. Click here: bit.ly/free-win
ham,Happy birthday! Hope you have a wonderful day 🎉
spam,Act now to secure your free trial of gift box. Offer expires today!
spam,Claim your free laptop now. Limited time offer: tinyurl.com/claimnow
spam,"Dear user, your account will be deactivated. Verify immediately at offer.link/win"
spam,You have been selected for a free vacation to Bali. Confirm now at bit.ly/free-win
spam,Congratulations! You've won a 500 GBP gift card. Click here: clicknow.com/deal
spam,Win a 500 EUR cash prize. Act fast! clicknow.com/deal
ham,Your package has been delivered. Check your doorstep.
ham,Your order #4563 has been shipped and will arrive by Monday.
ham,What time are we leaving for the airport?
spam,You've been selected! Redeem your prize now at tinyurl.com/claimnow
ham,Meeting rescheduled to noon. Please confirm availability.
ham,Newsletter: Top productivity tips for remote workers inside!
ham,Let's catch up over lunch tomorrow!
ham,What time are we leaving for the airport?
ham,"Hey, are we still meeting at noon today?"
spam,You’ve won a free gift box! Claim it now at bit.ly/free-win
ham,Just checking in. How's everything going with you?
spam,You’re approved for a loan up to 100 USD. Apply at bit.ly/free-win
spam,Act now to secure your free trial of iPhone. Offer expires today!
spam,Win a 5000 EUR cash prize. Act fast! offer.link/win
spam,Pay ₹50 today and win a smartphone. Limited time only! bit.ly/free-win
ham,Just checking in. How's everything going with you?
spam,Pay ₹50 today and win a smartphone. Limited time only! clicknow.com/deal
spam,Your OTP is 875321. Do not share it with anyone. -BankAlert
spam,Claim your free headphones now. Limited time offer: bit.ly/free-win
ham,Just checking in. How's everything going with you?
ham,Newsletter: Top productivity tips for remote workers inside!
spam,Act now to secure your free trial of iPhone. Offer expires today!
spam,Pay ₹50 today and win a smartphone. Limited time only! bit.ly/free-win
ham,Dinner plans confirmed at Bali for tonight!
ham,Let's catch up over lunch tomorrow!
ham,"Hi! I'm running 10 minutes late, be there soon."
spam,Congratulations! You've won a 500 USD gift card. Click here: offer.link/win
spam,Your mobile number has won 5000 GBP. Contact us at offer.link/win
spam,You've been selected! Redeem your prize now at clicknow.com/deal
spam,"Dear user, your account will be deactivated. Verify immediately at bit.ly/free-win"
ham,Call me when you're free. Need to discuss something important.
ham,Dinner plans confirmed at Bali for tonight!
spam,🎁 You’re chosen to receive a headphones. Collect at tinyurl.com/claimnow
spam,Congratulations! You've won a 5000 INR gift card. Click here: tinyurl.com/claimnow
spam,You've been selected! Redeem your prize now at clicknow.com/deal
ham,Dinner plans confirmed at Paris for tonight!
ham,"Balance alert: Your account balance is ₹5,432.23."
spam,"Limited time offer! Buy one iPhone, get one free. Visit: clicknow.com/deal"
spam,You’re approved for a loan up to 5000 GBP. Apply at bit.ly/free-win
ham,Happy birthday! Hope you have a wonderful day 🎉
ham,What time are we leaving for the airport?
ham,Your order #4563 has been shipped and will arrive by Monday.
ham,Dinner plans confirmed at the Maldives for tonight!
ham,Thanks for the help earlier. Really appreciate it!
spam,"Limited time offer! Buy one gift box, get one free. Visit: tinyurl.com/claimnow"
ham,Meeting rescheduled to 10 AM. Please confirm availability.
spam,Pay ₹50 today and win a smartphone. Limited time only! bit.ly/free-win
ham,Meeting rescheduled to 5:30 PM. Please confirm availability.
spam,Get 1000 followers instantly for free. Just click clicknow.com/deal
spam,Congratulations! You have been selected for a VIP membership. Click: offer.link/win
ham,Let's catch up over lunch tomorrow!
ham,What time are we leaving for the airport?
spam,Win a 1000 EUR cash prize. Act fast! clicknow.com/deal
spam,Get 1000 followers instantly for free. Just click clicknow.com/deal
ham,Can you send me the notes from yesterday's class?
spam,You’re approved for a loan up to 1000 USD. Apply at tinyurl.com/claimnow
ham,Don't forget to pick up groceries on your way home.
ham,What time are we leaving for the airport?
ham,Call me when you're free. Need to discuss something important.
ham,Meeting rescheduled to noon. Please confirm availability.
spam,Your mobile number has won 1000 INR. Contact us at offer.link/win
spam,URGENT: Your account has been suspended. Restore access at offer.link/win
spam,URGENT: Your account has been suspended. Restore access at tinyurl.com/claimnow
spam,Win a 100 EUR cash prize. Act fast! bit.ly/free-win
ham,Can you send me the notes from yesterday's class?
spam,You have been selected for a free vacation to the Maldives. Confirm now at clicknow.com/deal
spam,Your mobile number has won 500 INR. Contact us at clicknow.com/deal
ham,Dinner plans confirmed at Paris for tonight!
ham,Dinner plans confirmed at Paris for tonight!
spam,Claim your free gift box now. Limited time offer: offer.link/win
ham,Happy birthday! Hope you have a wonderful day 🎉
ham,"Hey, what's your plan for this weekend?"
spam,Congratulations! You have been selected for a VIP membership. Click: bit.ly/free-win
spam,Congratulations! You've won a 1000 EUR gift card. Click here: tinyurl.com/claimnow
ham,What time are we leaving for the airport?
spam,Your mobile number has won 500 USD. Contact us at clicknow.com/deal
spam,"Dear user, your account will be deactivated. Verify immediately at bit.ly/free-win"
ham,Dinner plans confirmed at Paris for tonight!
ham,"Hi Arbaz, your subscription has been renewed successfully."
ham,Don't forget to pick up groceries on your way home.
ham,Just checking in. How's everything going with you?
ham,Can you send me the notes from yesterday's class?
ham,Don't forget to pick up groceries on your way home.
ham,Can you send me the notes from yesterday's class?
ham,"Balance alert: Your account balance is ₹5,432.23."
spam,Free trial of our antivirus software ends soon. Renew now at bit.ly/free-win
spam,🎁 You’re chosen to receive a laptop. Collect at clicknow.com/deal
ham,Thanks for the help earlier. Really appreciate it!
spam,This is not a scam! Claim your inheritance now: offer.link/win
spam,You’ve won a free laptop! Claim it now at clicknow.com/deal
spam,Free Netflix account for 1 year. Join here: offer.link/win
spam,Claim your free iPhone now. Limited time offer: clicknow.com/deal
ham,Can you send me the notes from yesterday's class?
spam,Get 1000 followers instantly for free. Just click offer.link/win
ham,Can you send me the notes from yesterday's class?
ham,"Hey, what's your plan for this weekend?"
ham,Happy birthday! Hope you have a wonderful day 🎉
ham,Your package has been delivered. Check your doorstep.
ham,"Hey, are we still meeting at 3 PM today?"
spam,"Limited time offer! Buy one laptop, get one free. Visit: bit.ly/free-win"
spam,You’re approved for a loan up to 1000 EUR. Apply at offer.link/win
spam,You have been selected for a free vacation to Paris. Confirm now at bit.ly/free-win
ham,Don't forget to pick up groceries on your way home.
ham,"Balance alert: Your account balance is ₹5,432.23."
ham,Dinner plans confirmed at Bali for tonight!
ham,Let's catch up over lunch tomorrow!
ham,Dinner plans confirmed at Bali for tonight!
ham,Meeting rescheduled to 3 PM. Please confirm availability.
spam,"Limited time offer! Buy one headphones, get one free. Visit: clicknow.com/deal"
spam,You’re approved for a loan up to 100 USD. Apply at clicknow.com/deal
ham,What time are we leaving for the airport?
spam,URGENT: Your account has been suspended. Restore access at clicknow.com/deal
ham,Your order #4563 has been shipped and will arrive by Monday.
ham,"Hi! I'm running 10 minutes late, be there soon."
spam,You are the lucky winner of our holiday sweepstakes! Confirm at tinyurl.com/claimnow
spam,Congratulations! You've won a 5000 GBP gift card. Click here: tinyurl.com/claimnow
spam,Congratulations! You have been selected for a VIP membership. Click: offer.link/win
spam,Your mobile number has won 5000 USD. Contact us at tinyurl.com/claimnow
spam,Win a 1000 USD cash prize. Act fast! clicknow.com/deal
spam,Free Netflix account for 1 year. Join here: tinyurl.com/claimnow
ham,Just checking in. How's everything going with you?
spam,Claim your free gift box now. Limited time offer: bit.ly/free-win
ham,"Hi! I'm running 10 minutes late, be there soon."
ham,What time are we leaving for the airport?
ham,"Hey, are we still meeting at 3 PM today?"
spam,"Limited time offer! Buy one laptop, get one free. Visit: tinyurl.com/claimnow"
ham,Dinner plans confirmed at Paris for tonight!
spam,You have been selected for a free vacation to Bali. Confirm now at bit.ly/free-win
ham,Happy birthday! Hope you have a wonderful day 🎉
ham,Meeting rescheduled to 10 AM. Please confirm availability.
spam,Congratulations! You've won a 1000 USD gift card. Click here: bit.ly/free-win
ham,Your package has been delivered. Check your doorstep.
ham,Newsletter: Top productivity tips for remote workers inside!
ham,Dinner plans confirmed at the Maldives for tonight!
spam,This is not a scam! Claim your inheritance now: bit.ly/free-win
ham,Reminder: Team meeting scheduled for tomorrow at noon.
ham,Don't forget to pick up groceries on your way home.
ham,Meeting rescheduled to noon. Please confirm availability.
ham,"Hey, are we still meeting at 5:30 PM today?"
spam,You have been selected for a free vacation to Goa. Confirm now at clicknow.com/deal
spam,Join our exclusive crypto airdrop today. Limited slots: offer.link/win
spam,You've been selected! Redeem your prize now at bit.ly/free-win
spam,Free Netflix account for 1 year. Join here: clicknow.com/deal
ham,"Hi! I'm running 10 minutes late, be there soon."
spam,Claim your free iPhone now. Limited time offer: bit.ly/free-win
ham,What time are we leaving for the airport?
spam,Act now to secure your free trial of laptop. Offer expires today!
ham,Meeting rescheduled to noon. Please confirm availability.
spam,Congratulations! You have been selected for a VIP membership. Click: offer.link/win
spam,You've been selected! Redeem your prize now at offer.link/win
ham,Happy birthday! Hope you have a wonderful day 🎉
ham,Dinner plans confirmed at the Maldives for tonight!
ham,Just checking in. How's everything going with you?
ham,Can you send me the notes from yesterday's class?
spam,You’re approved for a loan up to 1000 INR. Apply at tinyurl.com/claimnow
spam,Your OTP is 875321. Do not share it with anyone. -BankAlert
ham,Just checking in. How's everything going with you?
ham,Reminder: Team meeting scheduled for tomorrow at 5:30 PM.
spam,You have been selected for a free vacation to Goa. Confirm now at tinyurl.com/claimnow
ham,Meeting rescheduled to 10 AM. Please confirm availability.
spam,You’re approved for a loan up to 100 EUR. Apply at bit.ly/free-win
spam,Congratulations! You have been selected for a VIP membership. Click: tinyurl.com/claimnow
ham,Don't forget to pick up groceries on your way home.
spam,You have been selected for a free vacation to the Maldives. Confirm now at offer.link/win
spam,Final notice: You're eligible for a tax refund. Submit details at clicknow.com/deal
ham,"Balance alert: Your account balance is ₹5,432.23."
spam,This is not a scam! Claim your inheritance now: tinyurl.com/claimnow
spam,You have been selected for a free vacation to Paris. Confirm now at tinyurl.com/claimnow
ham,Just checking in. How's everything going with you?
ham,Just checking in. How's everything going with you?
spam,Claim your free iPhone now. Limited time offer: tinyurl.com/claimnow
ham,Let's catch up over lunch tomorrow!
spam,"Limited time offer! Buy one laptop, get one free. Visit: tinyurl.com/claimnow"
spam,You have been selected for a free vacation to Bali. Confirm now at offer.link/win
spam,Act now to secure your free trial of laptop. Offer expires today!
spam,You have been selected for a free vacation to Paris. Confirm now at offer.link/win
ham,Call me when you're free. Need to discuss something important.
spam,Win a 500 EUR cash prize. Act fast! offer.link/win
spam,Your mobile number has won 5000 EUR. Contact us at tinyurl.com/claimnow
ham,Thanks for the help earlier. Really appreciate it!
spam,"Limited time offer! Buy one gift box, get one free. Visit: tinyurl.com/claimnow"
spam,You’re approved for a loan up to 1000 EUR. Apply at clicknow.com/deal
spam,URGENT: Your account has been suspended. Restore access at clicknow.com/deal
spam,You’re approved for a loan up to 1000 EUR. Apply at offer.link/win
ham,Let's catch up over lunch tomorrow!
spam,Pay ₹50 today and win a smartphone. Limited time only! clicknow.com/deal
spam,You have been selected for a free vacation to Bali. Confirm now at offer.link/win
ham,Don't forget to pick up groceries on your way home.
spam,This is not a scam! Claim your inheritance now: clicknow.com/deal
spam,Congratulations! You've won a 500 GBP gift card. Click here: clicknow.com/deal
spam,Your mobile number has won 100 EUR. Contact us at bit.ly/free-win
spam,"Limited time offer! Buy one laptop, get one free. Visit: bit.ly/free-win"
ham,"Hey, are we still meeting at 3 PM today?"
ham,Your package has been delivered. Check your doorstep.
ham,Your package has been delivered. Check your doorstep.
spam,Win a 500 USD cash prize. Act fast! bit.ly/free-win
ham,Your package has been delivered. Check your doorstep.
spam,URGENT: Your account has been suspended. Restore access at clicknow.com/deal
ham,Can you send me the notes from yesterday's class?
spam,Get 1000 followers instantly for free. Just click tinyurl.com/claimnow
spam,Win a 1000 INR cash prize. Act fast! tinyurl.com/claimnow
spam,Free prize alert! Claim your laptop now. Go to tinyurl.com/claimnow
ham,Your package has been delivered. Check your doorstep.
ham,Meeting rescheduled to 10 AM. Please confirm availability.
ham,Can you send me the notes from yesterday's class?
spam,Claim your free headphones now. Limited time offer: tinyurl.com/claimnow
ham,Your package has been delivered. Check your doorstep.
spam,You are the lucky winner of our holiday sweepstakes! Confirm at bit.ly/free-win
spam,Join our exclusive crypto airdrop today. Limited slots: clicknow.com/deal
ham,Your package has been delivered. Check your doorstep.
spam,Win a 1000 EUR cash prize. Act fast! tinyurl.com/claimnow
spam,Get 1000 followers instantly for free. Just click tinyurl.com/claimnow
spam,Final notice: You're eligible for a tax refund. Submit details at bit.ly/free-win
ham,Meeting rescheduled to 5:30 PM. Please confirm availability.
spam,Win a 1000 USD cash prize. Act fast! offer.link/win
spam,This is not a scam! Claim your inheritance now: offer.link/win
ham,What time are we leaving for the airport?
ham,Please find the attached invoice for this month's services.
spam,Congratulations! You have been selected for a VIP membership. Click: tinyurl.com/claimnow
ham,Let's catch up over lunch tomorrow!
ham,Can you send me the notes from yesterday's class?
spam,Act now to secure your free trial of laptop. Offer expires today!
spam,URGENT: Your account has been suspended. Restore access at tinyurl.com/claimnow
ham,Meeting rescheduled to 3 PM. Please confirm availability.
ham,Let's catch up over lunch tomorrow!
ham,Let's catch up over lunch tomorrow!
ham,Just checking in. How's everything going with you?
spam,You’re approved for a loan up to 100 EUR. Apply at tinyurl.com/claimnow
spam,Act now to secure your free trial of iPhone. Offer expires today!
ham,Just checking in. How's everything going with you?
spam,Act now to secure your free trial of laptop. Offer expires today!
ham,What time are we leaving for the airport?
ham,Don't forget to pick up groceries on your way home.
ham,Your package has been delivered. Check your doorstep.
spam,URGENT: Your account has been suspended. Restore access at offer.link/win
spam,Congratulations! You've won a 5000 GBP gift card. Click here: clicknow.com/deal
ham,Newsletter: Top productivity tips for remote workers inside!
ham,Don't forget to pick up groceries on your way home.
spam,"Limited time offer! Buy one headphones, get one free. Visit: offer.link/win"
spam,You have been selected for a free vacation to Bali. Confirm now at clicknow.com/deal
spam,URGENT: Your account has been suspended. Restore access at tinyurl.com/claimnow
ham,"Hey, are we still meeting at noon today?"
ham,Your order #4563 has been shipped and will arrive by Monday.
spam,Join our exclusive crypto airdrop today. Limited slots: clicknow.com/deal
spam,You've been selected! Redeem your prize now at tinyurl.com/claimnow
ham,Just checking in. How's everything going with you?
ham,Just checking in. How's everything going with you?
spam,Pay ₹50 today and win a smartphone. Limited time only! bit.ly/free-win
ham,"Balance alert: Your account balance is ₹5,432.23."
ham,"Hey, are we still meeting at 3 PM today?"
ham,Meeting rescheduled to 10 AM. Please confirm availability.
spam,"Limited time offer! Buy one iPhone, get one free. Visit: bit.ly/free-win"
spam,You've been selected! Redeem your prize now at tinyurl.com/claimnow
spam,Claim your free headphones now. Limited time offer: tinyurl.com/claimnow
ham,"Hey, are we still meeting at noon today?"
ham,"Balance alert: Your account balance is ₹5,432.23."
ham,Meeting rescheduled to noon. Please confirm availability.
spam,URGENT: Your account has been suspended. Restore access at bit.ly/free-win
spam,Act now to secure your free trial of laptop. Offer expires today!
ham,Dinner plans confirmed at Bali for tonight!
spam,You’re approved for a loan up to 500 INR. Apply at bit.ly/free-win
spam,Your mobile number has won 5000 EUR. Contact us at clicknow.com/deal
ham,Newsletter: Top productivity tips for remote workers inside!
spam,You have been selected for a free vacation to Paris. Confirm now at tinyurl.com/claimnow
ham,Your package has been delivered. Check your doorstep.
spam,Hey there! Want to make $5000/week from home? DM me now!
ham,"Hey, what's your plan for this weekend?"
ham,Please find the attached invoice for this month's services.
ham,Your package has been delivered. Check your doorstep.
spam,URGENT: Your account has been suspended. Restore access at bit.ly/free-win
spam,You’re approved for a loan up to 100 USD. Apply at tinyurl.com/claimnow
ham,Just checking in. How's everything going with you?
spam,"Dear user, your account will be deactivated. Verify immediately at tinyurl.com/claimnow"
spam,Free trial of our antivirus software ends soon. Renew now at tinyurl.com/claimnow
spam,You've been selected! Redeem your prize now at offer.link/win
ham,Your order #4563 has been shipped and will arrive by Monday.
spam,"Dear user, your account will be deactivated. Verify immediately at tinyurl.com/claimnow"
spam,You’re approved for a loan up to 5000 USD. Apply at offer.link/win
ham,Don't forget to pick up groceries on your way home.
ham,Let’s book tickets for the movie tonight.
spam,Get 1000 followers instantly for free. Just click offer.link/win
spam,You are the lucky winner of our holiday sweepstakes! Confirm at offer.link/win
ham,Happy birthday! Hope you have a wonderful day 🎉
ham,Your package has been delivered. Check your doorstep.
ham,Your package has been delivered. Check your doorstep.
ham,Let's catch up over lunch tomorrow!
ham,Call me when you're free. Need to discuss something important.
spam,Congratulations! You've won a 5000 USD gift card. Click here: clicknow.com/deal
spam,You’re approved for a loan up to 500 USD. Apply at clicknow.com/deal
ham,Meeting rescheduled to 5:30 PM. Please confirm availability.
spam,Win a 500 EUR cash prize. Act fast! bit.ly/free-win
ham,Let’s book tickets for the movie tonight.
spam,URGENT: Your account has been suspended. Restore access at tinyurl.com/claimnow
spam,Act now to secure your free trial of iPhone. Offer expires today!
spam,You are the lucky winner of our holiday sweepstakes! Confirm at tinyurl.com/claimnow
ham,"Hey, are we still meeting at 5:30 PM today?"
spam,Act now to secure your free trial of laptop. Offer expires today!
